Cities,Latitude,Longitude,Cloudiness,Date,Humidity,Max_Temp,Wind Speed
kamenka,51.32,42.77,32,1600027065,44,56.41,9.17
busselton,-33.65,115.33,100,1600027066,65,55.99,7.9
gat,31.61,34.76,0,1600026960,100,82.0,6.38
hualmay,-11.1,-77.61,26,1600027066,70,65.79,10.74
aykhal,66.0,111.5,0,1600027066,80,41.0,2.24
kranea elassonos,39.95,21.97,0,1600027066,53,77.0,0.31
whyalla,-33.03,137.58,90,1600027067,87,53.6,8.05
abu kamal,34.45,40.92,0,1600027067,25,88.45,9.26
iacu,-12.77,-40.21,43,1600027067,55,78.58,12.93
saint george,37.1,-113.58,1,1600026914,12,93.99,5.82
hobart,-42.88,147.33,75,1600027053,75,44.6,16.11
hovd,48.01,91.64,0,1600027068,58,43.27,0.69
charyshskoye,51.4,83.56,0,1600027068,57,47.03,4.9
strugari,46.53,26.72,2,1600027068,56,71.6,3.36
teya,60.38,92.63,0,1600027068,88,45.21,1.25
enshi,30.3,109.48,100,1600027068,87,64.42,2.13
jumla,29.27,82.18,96,1600027069,67,60.15,0.78
santarem,-2.44,-54.71,20,1600027069,59,91.4,10.29
kiunga,-6.12,141.29,93,1600027069,92,70.43,1.3
waw,7.7,28.0,95,1600027069,95,70.79,6.02
jarvenpaa,60.47,25.09,0,1600027069,87,51.01,6.93
ankang,32.68,109.02,100,1600027070,88,66.52,0.54
chapleau,47.84,-83.4,75,1600026816,76,57.2,11.41
khatanga,71.97,102.5,0,1600027070,70,46.74,6.71
tessalit,20.2,1.01,1,1600027070,12,98.24,8.08
spearfish,44.49,-103.86,1,1600027070,35,75.99,6.93
phetchabun,16.25,101.08,100,1600027071,81,76.8,2.77
katangli,51.71,143.23,0,1600027071,83,47.3,6.26
sumbe,-11.21,13.84,7,1600027071,81,71.44,8.16
marawi,8.0,124.29,84,1600027071,95,75.0,3.0
beringovskiy,63.05,179.32,100,1600027071,97,48.76,17.47
fort nelson,58.81,-122.7,75,1600027072,75,41.0,9.17
port elizabeth,-33.92,25.57,0,1600027072,76,55.4,12.75
rockport,28.02,-97.05,20,1600027072,50,95.0,12.75
asau,46.43,26.4,6,1600027072,89,61.0,4.99
kaeo,-35.1,173.78,47,1600027072,77,50.68,4.29
kaitangata,-46.28,169.85,92,1600027073,92,52.0,3.0
leningradskiy,69.38,178.42,100,1600027073,83,41.49,1.7
mount isa,-20.73,139.5,0,1600027073,33,71.6,8.05
provideniya,64.38,-173.3,90,1600027073,87,48.2,17.9
payyannur,12.1,75.2,90,1600027073,100,75.2,3.36
port blair,11.67,92.75,100,1600027074,78,82.22,12.19
zaysan,47.47,84.87,0,1600027074,38,52.93,7.94
gazli,40.13,63.45,0,1600027074,25,66.87,9.8
ivanava,52.15,25.54,98,1600027074,76,55.63,6.71
jungapeo,19.45,-100.48,83,1600027076,83,73.0,10.0
magdagachi,53.45,125.8,100,1600027076,95,53.6,2.98
castro,-24.79,-50.01,9,1600027076,40,80.29,5.55
tilichiki,60.47,166.1,100,1600027076,92,42.31,12.95
troitskoye,52.98,84.68,45,1600027077,75,47.59,5.5
